# The neutral compose corpus: 259 files, one per repository, sampled across 733.
# Every figure in docs/DOCKER-COMPAT.md and docs/RUNTIME-PARITY.md is measured on it.
# It is listed rather than vendored: the files are other people's, and a copy in this
# repo would be a redistribution nobody asked for. Each row is enough to fetch it back.
#
# THE COMMIT IS NOT PINNED. The corpus was sampled by repository and path, not by
# revision, so a file may have changed or vanished since. That is a real limit on
# reproducing these numbers exactly, and it is written here rather than discovered:
# the sha256 prefix of the bytes measured is the only thing that pins what was read.
#
# corpus-file	owner	repo	path-in-repo	sha256-16
ReFi-Labs~account-abstraction-bundler~dockers~docker-compose.yml	ReFi-Labs	account-abstraction-bundler	dockers/docker-compose.yml	5acaf7961fcc68ce
SecCodeSmith~text-to-audiobook~docker-compose.yml	SecCodeSmith	text-to-audiobook	docker-compose.yml	4c30375545f4227e
SkyWongHZ~blog_service~docker-compose.yml.bak	SkyWongHZ	blog_service	docker-compose.yml.bak	5230389c35fafe3e
SuryaKTiwari11~kafka~docker-compose.yml	SuryaKTiwari11	kafka	docker-compose.yml	226081aeeb2da46b
TJCatFood~backend~docker-compose.yml.dev	TJCatFood	backend	docker-compose.yml.dev	4595140aac67191e
Taliana17~BuzzCore~docker-compose.yml	Taliana17	BuzzCore	docker-compose.yml	43632b89a70a4c62
Team-olbl~S-tickey~deploy~docker-compose.yml	Team-olbl	S-tickey	deploy/docker-compose.yml	b79c696ebd3b015b
ThomasQi3141~syncspark~docker-compose.yml	ThomasQi3141	syncspark	docker-compose.yml	fec73c1e2ce630e5
Tobita-Ryusuke~test-foodcre~docker-compose.yml	Tobita-Ryusuke	test-foodcre	docker-compose.yml	9fca318c1d1d3be8
TunLinAung010~docker-swarm-ingress~.docker-compose.yml-ci	TunLinAung010	docker-swarm-ingress	.docker-compose.yml-ci	686abfc748c06026
ValeriTodorov01~VALERI-VOT-DOM-2-SROK-2~docker-compose.yml	ValeriTodorov01	VALERI-VOT-DOM-2-SROK-2	docker-compose.yml	ae29bf43f0ad76eb
Websoft9~docker-library~apps~jetty~docker-compose.yml	Websoft9	docker-library	apps/jetty/docker-compose.yml	cb4bfab1cdd352e3
Wisdomuzochi~datapulse~docker-compose.yml	Wisdomuzochi	datapulse	docker-compose.yml	01b7f595f87e9c35
XORbyte-io~dwg~docker-compose.yml.CLI	XORbyte-io	dwg	docker-compose.yml.CLI	d5e8ea70761938d0
admisio~Portfolio~docker-compose.yml.dev	admisio	Portfolio	docker-compose.yml.dev	2d4d9e0ccb9fec61
admisio~Testy~docker-compose.yml.dev	admisio	Testy	docker-compose.yml.dev	60e5e9fc5eb22aab
aevans1910~adulting~docker-compose.yml.orig	aevans1910	adulting	docker-compose.yml.orig	f9a2ae5d96ae151f
alexandre6415~telegram-runrun-bot~docker-compose.yml	alexandre6415	telegram-runrun-bot	docker-compose.yml	0c2014c728e7bbe5
alice-ang~nest-gql-api~docker-compose.yml	alice-ang	nest-gql-api	docker-compose.yml	8c41ab741c2929c0
alitarhinisv~Notes-FE~docker-compose.yml	alitarhinisv	Notes-FE	docker-compose.yml	2a5f9dc1a6f91b24
aloshai~aequi-monorepo~docker-compose.yml	aloshai	aequi-monorepo	docker-compose.yml	437ab3b8e6c25d26
amolabs~amoabci~docker-compose.yml.in	amolabs	amoabci	docker-compose.yml.in	1c58637f1a6da789
antwebes~chatBoilerplate~docker-compose.yml.dist	antwebes	chatBoilerplate	docker-compose.yml.dist	5aea2ff2761413cc
arkanelinux~docker-compose~traefik~docker-compose.yml	arkanelinux	docker-compose	traefik/docker-compose.yml	2ebd1937e74e9e27
arunrao~rampart-ai~docker-compose.yml	arunrao	rampart-ai	docker-compose.yml	3a42ffea7f4b72d5
ashishjaiswal222~newportfolio~backend~docker-compose.yml	ashishjaiswal222	newportfolio	backend/docker-compose.yml	2b4bcb69a28257c5
atanaltay~cs310_2022~25_BookStoreDocker~docker-compose.yml	atanaltay	cs310_2022	25_BookStoreDocker/docker-compose.yml	1e19f151fe39e15c
atlab~pipeline-tp-gui~docker-compose.yml.old	atlab	pipeline-tp-gui	docker-compose.yml.old	d03c8f1c7eb567bd
av-ugolkov~backend-examples~db~postgresql~join~docker-compose.yml	av-ugolkov	backend-examples	db/postgresql/join/docker-compose.yml	5cd264778f016f8d
betloreilly~AI-powered-Enterprise-Search~docker-compose.yml	betloreilly	AI-powered-Enterprise-Search	docker-compose.yml	3e57a6d9b2a43ac7
bjornkpu~pottery-log~docker-compose.yml	bjornkpu	pottery-log	docker-compose.yml	7ce2d36da07ea1e3
bluesky0309~eth-infinitism~dockers~docker-compose.yml	bluesky0309	eth-infinitism	dockers/docker-compose.yml	5acaf7961fcc68ce
bschmitt~laravel-amqp~docker-compose.yml	bschmitt	laravel-amqp	docker-compose.yml	0e99673ca21789ff
bunkeriot~BunkerM~docker-compose.yml.bak	bunkeriot	BunkerM	docker-compose.yml.bak	5d0440977d5b63f5
buptmiao~microservice-app~monitor~docker-compose.yml.2	buptmiao	microservice-app	monitor/docker-compose.yml.2	06ebf8b3d729f779
cajal~pipecontrol~docker-compose.yml.old	cajal	pipecontrol	docker-compose.yml.old	d03c8f1c7eb567bd
caretdev~iris-vector~docker-compose.yml	caretdev	iris-vector	docker-compose.yml	a6e511cbda821223
cbulock~plex-issue-finder~docker-compose.yml	cbulock	plex-issue-finder	docker-compose.yml	2168cebeca9ba96f
chandanshoun~CPPRestSDK-server~docker-compose.yml.bkp	chandanshoun	CPPRestSDK-server	docker-compose.yml.bkp	b623e8166d6327fa
chaterm~Akasha~docker-compose.yml.bak	chaterm	Akasha	docker-compose.yml.bak	63ea657c3044c147
clubcapra~gazebo_docker~docker-compose.yml	clubcapra	gazebo_docker	docker-compose.yml	1686ee7f9d01665a
codenip-tech~design-patterns-in-php~docker-compose.yml.dist	codenip-tech	design-patterns-in-php	docker-compose.yml.dist	f2fc6ee3a726a059
codenip-tech~symfony-course-skeleton~docker-compose.yml.dist	codenip-tech	symfony-course-skeleton	docker-compose.yml.dist	03f5d323bef8f6bb
compasify~giapha-4.0~docker-compose.yml	compasify	giapha-4.0	docker-compose.yml	c4767e08246a147d
crs4~openEHRTool~docker-compose.yml.win.1	crs4	openEHRTool	docker-compose.yml.win.1	38b1c23a14edeb6d
dacheng-gao~docker-lnmp~docker-compose.yml.dist	dacheng-gao	docker-lnmp	docker-compose.yml.dist	e5470949a3e3b232
darkweak~souin~docker-compose.yml.dev	darkweak	souin	docker-compose.yml.dev	abda6b437a9255d5
decwest~nav2_test_environment~docker-compose.yml	decwest	nav2_test_environment	docker-compose.yml	f7281a10f62c5fae
dmcbane~devcontainer-go~.devcontainer~docker-compose.yml	dmcbane	devcontainer-go	.devcontainer/docker-compose.yml	d996c1d25c11d56d
droptica~nginx-proxy~docker-compose.yml.3	droptica	nginx-proxy	docker-compose.yml.3	60ffdc99e0761de8
easabbir~k6-performance-test~docker-compose.yml	easabbir	k6-performance-test	docker-compose.yml	62aeca8f47cf611b
elitsuri~lms-cloudlearn-8~docker~docker-compose.yml	elitsuri	lms-cloudlearn-8	docker/docker-compose.yml	65e286197e8d2d3f
eventually-consistent-code~Open-Cookbook~server~local~docker-compose.yml	eventually-consistent-code	Open-Cookbook	server/local/docker-compose.yml	b7b1bf66453b3957
evshvarov~demotest~docker-compose.yml	evshvarov	demotest	docker-compose.yml	d05871811f4f3e52
evshvarov~ikem-demo~docker-compose.yml	evshvarov	ikem-demo	docker-compose.yml	d05871811f4f3e52
evshvarov~iris-cron-task~docker-compose.yml	evshvarov	iris-cron-task	docker-compose.yml	d05871811f4f3e52
evshvarov~iris-python-excersise~docker-compose.yml	evshvarov	iris-python-excersise	docker-compose.yml	d05871811f4f3e52
eyadsibai~machine-learning-docker-image~docker-compose.yml_bak	eyadsibai	machine-learning-docker-image	docker-compose.yml_bak	42e85ebfe286a088
fairyly~docker_study~1.3.3docker-compose.yml.md	fairyly	docker_study	1.3.3docker-compose.yml.md	23afa1e698fd3d19
falric~node-web~docker-compose.yml.in	falric	node-web	docker-compose.yml.in	4442f12d560e857c
feiseli~watch-lifecycle~docker-compose.yml	feiseli	watch-lifecycle	docker-compose.yml	33eb9989131e476a
